0.13.36         [Core] [Docs] Remove travis-ci references (#13916)
0.13.37         Add fix for brew upgrade (#12921)
0.13.38         Fix US_RDQU keycode (#13464)
0.13.4          Fix Bug with (RGB|LED)_DISABLE_WHEN_USB_SUSPENDED define (#13060)
0.13.5          Slightly more prominent LUFA Mass-storage bootloader warning. (#13163)
0.13.6          Make atmel-dfu and chibios-dfu flashing behave more like caterina flashing. (#12552)
0.13.7          Change Lufa-MS size (#13183)
0.13.8          Debian requires package libusb-dev to build bootloaderHID (#13105)
0.13.9          Fix overrun in oled_write_raw when not at (0, 0) (#13204)
0.14.0          Breaking changes develop merge to master, 2021Q3 edition. (#14196)
0.14.1          Fixup upstream paths for submodules. (#14205)
0.14.10         Bugfix for Joystick and JSON schema (#14295)
0.14.11         `OLED TIMEOUT 0` and `OLED_DISABLE_TIMEOUT` should behave the same (#14302)
0.14.12         `ST7565_TIMEOUT 0` and `ST7565_DISABLE_TIMEOUT` should behave the same (#14315)
0.14.13         Backport F_CPU/F_USB hack from system76 (#14286)
0.14.14         Change USBasp and bootloadHID bootloaders to lowercase (#14354)
0.14.15         Apply `TAP_CODE_DELAY` to Tap Dance key sequences (#14412)
0.14.16         [Bug] Fix IS31fl3741 driver to accept 1 or 2 addresses (#14451)
0.14.17         Cleanup issues identified by lgtm (#14459)
0.14.18         Move "firmware size check skipped" note to message.mk (#14632)
0.14.19         [Core] Fix "6kro enable" and clarify naming (#14563)
0.14.2          Update the nix-shell environment (#13316)
0.14.20         Allow community layouts to be specified in info.json (#14682)
0.14.21         [Bug] Fix command feature if mousekey is enabled and using 3-speed setting (#14697)
0.14.22         Added semicolons to rules.mk to allow symlinks from /bin/sh to /bin/zsh to complete the filesize check without error. (#14718)
0.14.23         Allow AVR Bootloader size to be configurable (#14783)
0.14.24         Make the MAGIC_TOGGLE_GUI keycode work (#14886)
0.14.25         Fix type of Tap Dance max index variable (#14887)
0.14.26         Check usb transmit status in send_extra() (#14643)
0.14.27         Tidy up ADNS9800 and PMW3360 firmware blobs (#14936)
0.14.28         Remove unused KEYBOARD_LOCK_ENABLE from rules (#14920)
0.14.29         Update mcu_selection.mk with current ChibiOS path (#14909)
0.14.3          move everything from qmkfm/base_container to qmkfm/qmk_cli (#14230)
0.14.30         add wait to unicode for win (#15061)
0.14.31         Format code according to conventions (#15193)
0.14.32         Add Keyboardio Atreus 2 Bootloader to udev rules (#15241)
0.14.33         Changelog 2021q4 (#15325)
0.14.4          [Bug] Fix build error when enabling NO_HAPTIC_MOD (#14178)
0.14.5          Update ws2812_spi.c (#14237)
0.14.6          cherry pick tidy up (#14244)
0.14.7          [Core] Add `is_oled_scrolling` (#14305)
0.14.8          Tidy up defines within STM EEPROM emulation (#14275)
0.14.9          Fix eeprom for Durgod boards (#14324)
0.15.0          Tagging 0.15.0
0.15.1          Fix bit loss in cie_lightness() when doing division to resolve #15331 (#15344)
0.15.10         Save a single byte of memory for joystick buttons (#15555)
0.15.11         fix RGB_DISABLE_TIMEOUT flicker on split keyboards (#14954)
0.15.12         [Bug] Fix analog joystick to mouse compilation (#15677)
0.15.13         Revert "core: make the full 4096 bytes of EEPROM work on Teensy 3.6 (#12947)" (#15695)
0.15.14         Remove network drive mapping comment for WSL (#15871)
0.15.15         [Bug] Remove config.h include in dynamic_keymap.c (#15886)
0.15.16         Remove `QMK_SUBPROJECT` definitions in makefile (#15958)
0.15.17         Fix joystick button off-by-one error (#16037)
0.15.18         Fixes for slovak language-specific keycodes (#16019)
0.15.19         [Core] Add Pixel Flow RGB matrix effect (#15829)
0.15.2          Add missing virtser_init() to ChibiOS code (#15356)
0.15.20         Revert "[Core] Add Pixel Flow RGB matrix effect (#15829)" (#16209)
0.15.21         Add support for driving unselected row/col. (#16278)
0.15.22         [Bug] Re-add call to `suspend_power_down_kb()` (#16382)
0.15.23         Fix build error for LED Matrix effect solid_reactive_wide. (#16383)
0.15.24         Fix a potential bug in encoder_init(). (#16372)
0.15.25         Format code according to conventions (#16419)
0.15.3          [Core] Added chconf.h for WB32 (#15359)
0.15.4          Modified config.h default configuration (#15387)
0.15.5          Fix RESET not working for keyboards with Kiibohd bootloader (#15430)
0.15.6          [Core] Add configuration of PMW3360 lift off distance (#15424)
0.15.7          [Core] Fix Sensor driver code (#15484)
0.15.8          Fix some wrong keycode macros in locale mapping files (#15488)
0.15.9          Fix inverted gt and lt send_string mapping in canadian multilingual (#15487)
0.16.0          Merge remote-tracking branch 'origin/develop'
0.16.1          [Bug] fix v-usb connection enumeration, ifdef workaround (#16511)
0.16.2          Fix use of ISSI driver config before init (#16493)
0.16.3          analog.[ch]: remove unnecessary includes (#16471)
0.16.4          [Bug] Rename has_mouse_report_changed parameters (#16417)
0.16.5          Remove `matrix_key_count()` (#16603)
0.16.6          VUSB - Use correct endpoint poll for VIA (#16691)
0.16.7          [Bug] Fix unused variable error when using ChibiOS Bitbang serial driver (#16709)
0.16.8          fix typo in ps2 set_defaults (#16767)
0.16.9          [Bug] Fix matrix scan reporting interval (#16825)
0.17.0          Merge branch 'develop' -- breaking changes 2022-05-28.
0.17.1          [Bug] Fix issue with mousekey movement getting stuck (#17493)
0.17.2          [Bug] Fix 3 speed mousekey mode (#17500)
0.17.3          [QP] Explicit buffer alignment. (#17532)
0.17.4          Allow for RGB actions to take place on Keydown instead of Keyup (#16886)
0.17.5          MSYS2 install: use MinGW python-qmk package (#17302)
0.17.6          Fix check when compiling HID Joystick with digital driver (#17844)
0.17.7          fix comment space code in quantum/matrix_common.c (#17942)
0.17.8          Remove legacy keycode use from command (#18002)
0.17.9          Remove old submodules if present (#17930)
0.18.0          Merge remote-tracking branch 'upstream/develop'
0.18.1          Clean-up of `#define _ADJUST 16` instances (#18182)
0.18.10         define `oled_write_ln_P` as `oled_write_ln` for non-AVR MCUs (#18589)
0.18.11         Add C++ prerequisite for Fedora. (#18602)
0.18.12         fix: ps2_interrupt.c failed to compile (#18597)
0.18.13         docs: some typos (#18582)
